ID,Rank,Sales
446134,1,11821
446225,2,21625
445737,3,31504
440380,4,41178
375063,5,51169
421229,6,61160
410796,7,7762
386669,8,8741
291216,9,9705
446127,10,10639
445876,11,11596
445669,12,12577
441775,13,13571
440044,14,14551
420768,15,15520
405376,16,16504
431998,17,17446
445911,18,18430
444617,19,19421
429874,20,20408
446213,21,21408
445537,22,22400
294913,23,23376
441650,24,24367
445479,25,25367
445783,26,26366
445776,27,27353
400514,28,28347
443403,29,29340
446227,30,30324
377006,31,31323
441990,32,32313
407832,33,33311
445641,34,34303
445742,35,35294
408751,36,36292
394608,37,37282
446132,38,38282
446022,39,39266
445969,40,40261
441319,41,41253
446123,42,42249
419882,43,43248
444311,44,44247
439096,45,45245
443838,46,46242
446024,47,47242
438485,48,48241
445749,49,49241
446032,50,50239
446029,51,51237
445582,52,52233
365812,53,53232
395385,54,54223
445050,55,55220
245095,56,56217
443478,57,57212
444622,58,58208
445476,59,59207
383577,60,60205
441510,61,61205
445325,62,62204
444705,63,63203
410331,64,64198
445035,65,65191
328545,66,66188
441104,67,67182
444445,68,68180
438451,69,69179
439684,70,70178
446035,71,71177
422126,72,72174
445753,73,73173
387397,74,74172
439104,75,75166
440048,76,76166
446030,77,77165
443324,78,78161
431109,79,79159
443353,80,80158
440441,81,81157
445682,82,82157
446230,83,83157
394981,84,84155
405666,85,85154
434597,86,86153
371776,87,87152
420308,88,88151
445548,89,89146
433420,90,90145
445129,91,91145
444110,92,92144
445203,93,93144
400898,94,94140
420802,95,95140
444017,96,96140
445523,97,97139
446036,98,98139
445877,99,99136
440593,100,100135
442456,101,101135
444752,102,102135
446214,103,103133
445550,104,104132
443751,105,105129
370848,106,106128
426155,107,107128
443047,108,108128
440822,109,109126
441417,110,110126
378718,111,111125
421307,112,112125
443902,113,113124
446147,114,114124
435193,115,115122
407799,116,116119
438565,117,117119
444535,118,118119
379765,119,119118
423488,120,120118
400192,121,121115
438486,122,122115
426595,123,123114
383301,124,124113
446044,125,125113
441302,126,126112
445664,127,127112
407245,128,128111
439036,129,129111
442575,130,130111
444890,131,131111
445792,132,132111
434788,133,133110
437278,134,134110
443286,135,135110
436764,136,136109
438926,137,137109
440057,138,138109
442858,139,139107
422138,140,140105
429889,141,141105
381024,142,142104
423260,143,143104
440820,144,144103
373350,145,145102
444319,146,146102
424813,147,147101
445111,148,148101
446131,149,149101
401830,150,150100
443405,151,15198
444396,152,15298
444780,153,15398
443578,154,15497
387828,155,15596
373385,156,15695
432221,157,15795
436253,158,15895
206265,159,15994
422264,160,16094
441514,161,16194
377779,162,16293
420549,163,16393
422323,164,16493
397631,165,16592
404276,166,16692
415773,167,16792
440557,168,16892
444466,169,16992
444758,170,17092
445047,171,17192
440277,172,17291
445183,173,17391
376180,174,17490
399143,175,17590
420031,176,17690
423503,177,17790
446133,178,17889
319112,179,17988
367075,180,18088
443104,181,18188
443315,182,18288
445663,183,18388
409966,184,18487
439577,185,18587
443064,186,18687
444760,187,18787
401274,188,18886
438815,189,18986
439928,190,19086
445892,191,19186
360017,192,19284
394255,193,19384
446153,194,19484
387909,195,19583
436396,196,19683
442067,197,19783
443065,198,19883
444477,199,19983
345770,200,20082
